STOCK NAME,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CHNG,%CHNG,VOLUME,VALUE,52W HIGH,52W LOW,30D %CHNG
DRREDDY,"6,255.45","6,420.00","6,251.05","6,235.90","6,400.00",164.10,2.63,"10,23,659",653.96,"6,505.90","5,004.35",6.69
ONGC,269.00,275.45,268.35,267.50,274.35,6.85,2.56,"1,95,32,912",534.65,292.95,156.55,0.86
RELIANCE,"3,062.05","3,162.00","3,062.05","3,061.10","3,128.25",67.15,2.19,"1,44,78,668","4,518.08","3,162.00","2,220.30",8.65
HEROMOTOCO,"5,500.00","5,605.25","5,452.10","5,485.20","5,590.00",104.80,1.91,"5,39,635",299.57,"5,894.55","2,795.00",8.47
SBILIFE,"1,450.10","1,498.80","1,450.00","1,463.45","1,491.00",27.55,1.88,"15,33,271",227.97,"1,569.40","1,251.65",5.60
TATAMOTORS,975.00,998.50,972.55,972.10,989.20,17.10,1.76,"2,30,25,267","2,279.09","1,065.60",575.50,4.89
DIVISLAB,"4,522.35","4,648.45","4,522.35","4,522.35","4,599.00",76.65,1.69,"3,91,476",180.00,"4,648.45","3,295.30",3.34
COALINDIA,470.00,476.00,468.00,467.05,473.50,6.45,1.38,"83,02,706",392.83,527.40,224.15,-2.73
ASIANPAINT,"2,865.00","2,932.00","2,862.20","2,880.85","2,916.50",35.65,1.24,"12,06,712",351.76,"3,568.00","2,670.10",0.58
GRASIM,"2,635.95","2,678.95","2,587.20","2,637.60","2,668.00",30.40,1.15,"14,95,266",395.99,"2,678.95","1,730.75",11.24
TATACONSUM,"1,085.60","1,104.00","1,085.00","1,085.60","1,098.00",12.40,1.14,"11,29,490",123.79,"1,269.00",822.00,2.44
HINDALCO,690.25,697.50,686.00,685.25,691.95,6.70,0.98,"61,01,211",422.51,715.25,414.65,-1.67
BAJAJ-AUTO,"9,465.00","9,523.70","9,382.25","9,417.45","9,505.00",87.55,0.93,"2,37,516",224.82,"10,038.80","4,541.00",4.76
TITAN,"3,380.60","3,419.90","3,366.35","3,380.60","3,403.00",22.40,0.66,"10,05,498",341.94,"3,886.95","2,882.45",0.70
NESTLEIND,"2,533.75","2,573.70","2,528.30","2,533.75","2,550.35",16.60,0.66,"11,82,033",302.48,"2,769.30","2,145.00",3.05
NTPC,377.95,389.50,376.70,377.15,379.50,2.35,0.62,"2,51,41,039",960.69,393.20,184.75,3.77
WIPRO,512.00,516.30,505.85,510.80,513.80,3.00,0.59,"82,02,916",420.34,545.90,375.05,14.21
SBIN,846.90,864.00,844.00,844.00,848.80,4.80,0.57,"2,36,36,388","2,021.01",912.00,543.20,3.20
BRITANNIA,"5,435.00","5,490.00","5,416.25","5,430.30","5,455.00",24.70,0.45,"2,15,576",117.85,"5,725.00","4,347.70",4.70
HCLTECH,"1,468.00","1,468.70","1,442.00","1,454.90","1,461.00",6.10,0.42,"49,43,575",718.30,"1,697.35","1,087.05",7.87
TATASTEEL,174.17,177.10,173.57,174.16,174.75,0.59,0.34,"3,75,21,949",657.72,184.60,110.40,-0.14
HDFCLIFE,594.00,599.80,590.00,593.25,595.00,1.75,0.29,"36,46,272",216.93,710.60,511.40,5.91
SUNPHARMA,"1,520.00","1,538.95","1,515.60","1,516.25","1,519.80",3.55,0.23,"26,34,599",401.84,"1,638.85",995.00,2.83
HINDUNILVR,"2,463.00","2,490.50","2,462.85","2,462.15","2,467.15",5.00,0.20,"21,29,791",527.86,"2,769.65","2,172.05",4.20
CIPLA,"1,486.30","1,492.20","1,476.05","1,480.90","1,482.65",1.75,0.12,"20,87,765",309.22,"1,582.00",996.50,-0.85
LTIM,"5,377.00","5,450.00","5,315.00","5,377.05","5,380.00",2.95,0.05,"4,13,940",222.58,"6,442.00","4,513.55",10.33
ADANIENT,"3,190.00","3,211.95","3,157.00","3,175.15","3,174.00",-1.15,-0.04,"9,60,905",306.02,"3,743.90","2,142.00",-2.51
APOLLOHOSP,"6,222.50","6,222.50","6,145.15","6,192.50","6,187.85",-4.65,-0.08,"3,34,692",206.89,"6,874.45","4,726.00",4.78
POWERGRID,333.00,337.35,329.60,331.55,331.30,-0.25,-0.08,"2,16,76,594",722.29,348.70,177.53,4.17
ITC,425.50,428.00,423.50,425.60,425.00,-0.60,-0.14,"1,78,66,326",760.62,499.70,399.35,-1.40
TECHM,"1,441.00","1,453.00","1,426.65","1,432.25","1,429.60",-2.65,-0.19,"22,22,285",319.01,"1,453.00","1,082.30",11.19
INFY,"1,572.55","1,588.50","1,564.25","1,573.35","1,566.65",-6.70,-0.43,"81,97,544","1,289.47","1,733.00","1,281.40",7.98
LT,"3,540.00","3,575.95","3,538.10","3,564.40","3,545.70",-18.70,-0.52,"31,41,514","1,117.77","3,919.90","2,390.05",-2.38
BPCL,305.85,306.60,301.55,304.85,303.25,-1.60,-0.52,"90,77,880",276.15,343.98,165.73,-52.02
ULTRACEMCO,"11,699.90","11,779.00","11,469.85","11,716.70","11,650.50",-66.20,-0.57,"6,84,790",797.43,"11,874.95","7,987.65",16.41
HDFCBANK,"1,697.60","1,706.60","1,679.00","1,696.15","1,685.00",-11.15,-0.66,"1,32,38,023","2,240.65","1,757.50","1,363.55",11.64
BAJFINANCE,"7,165.00","7,226.00","7,105.30","7,166.75","7,119.00",-47.75,-0.67,"8,29,584",592.77,"8,192.00","6,187.80",4.54
TCS,"3,917.80","3,960.00","3,897.85","3,934.15","3,906.75",-27.40,-0.70,"27,31,571","1,072.05","4,254.75","3,193.40",2.64
ADANIPORTS,"1,480.00","1,494.00","1,445.00","1,485.50","1,475.00",-10.50,-0.71,"1,15,34,763","1,681.79","1,621.40",708.00,4.83
BAJAJFINSV,"1,603.10","1,622.00","1,583.10","1,603.10","1,590.95",-12.15,-0.76,"20,58,302",329.52,"1,741.00","1,419.05",1.16
M&M,"2,855.00","2,896.00","2,855.00","2,888.95","2,866.45",-22.50,-0.78,"25,48,169",731.52,"3,013.50","1,390.15",13.14
JSWSTEEL,943.15,949.40,928.75,943.15,934.10,-9.05,-0.96,"24,02,672",225.26,949.40,723.00,3.28
EICHERMOT,"4,713.80","4,733.95","4,655.30","4,713.80","4,667.90",-45.90,-0.97,"9,39,279",440.00,"4,976.00","3,160.00",-1.53
SHRIRAMFIN,"2,951.05","2,969.30","2,900.00","2,951.05","2,921.00",-30.05,-1.02,"12,01,091",351.84,"3,059.45","1,689.15",22.61
MARUTI,"12,184.95","12,201.50","12,004.15","12,178.75","12,025.00",-153.75,-1.26,"11,60,395","1,404.38","13,073.95","9,254.15",-5.90
INDUSINDBK,"1,491.00","1,491.00","1,460.50","1,502.75","1,464.20",-22.05,-1.48,"64,25,323",948.14,"1,694.50","1,316.25",0.29
KOTAKBANK,"1,822.20","1,847.95","1,798.90","1,830.55","1,803.00",-27.55,-1.51,"49,69,007",902.26,"1,987.75","1,543.85",6.79
BHARTIARTL,"1,536.25","1,536.25","1,436.65","1,475.80","1,449.00",-26.80,-1.82,"2,91,45,832","4,283.94","1,536.25",847.05,4.86
ICICIBANK,"1,227.00","1,227.00","1,196.35","1,219.90","1,197.25",-22.65,-1.86,"1,25,07,092","1,507.38","1,235.00",899.00,8.86
AXISBANK,"1,283.10","1,289.90","1,261.60","1,288.95","1,263.80",-25.15,-1.95,"71,67,069",911.74,"1,310.00",927.15,9.10
